Three NFTs with most LSU: 
-- NFT: #714# with LSU: 1000000 and XRD claim: 64522.435190263402191751
-- NFT: #352# with LSU: 653000 and XRD claim: 85421.826944644686809991
-- NFT: #573# with LSU: 311000 and XRD claim: 20261.293689665313671067
Day: 1, epoch 88523, LSU locked in contract: 12073158.00548, new validator rewards: 15070.592841806886406983, pool liqudity: 12404.338726956886755348
-- Withdrawing NFT: #828# with LSU: 4000 and XRD claim: 238.501348638237397895
-- Withdrawing NFT: #52# with LSU: 49000 and XRD claim: 7576.158418733601764507
-- Withdrawing NFT: #368# with LSU: 520.78051 and XRD claim: 68.760251605257174458
-- Withdrawing NFT: #1001# with LSU: 1002 and XRD claim: 50.992741862952001573
-- Withdrawing NFT: #413# with LSU: 700 and XRD claim: 92.413731258128185578
-- Withdrawing NFT: #72# with LSU: 2000 and XRD claim: 309.230901234328508669
-- Withdrawing NFT: #735# with LSU: 510 and XRD claim: 32.925392691539606298
-- Withdrawing NFT: #774# with LSU: 501 and XRD claim: 31.248516615385799061
-- Withdrawing NFT: #1205# with LSU: 2500 and XRD claim: 115.248022641151569274
-- Withdrawing NFT: #513# with LSU: 501 and XRD claim: 58.019216890051015829
-- Withdrawing NFT: #847# with LSU: 1000 and XRD claim: 59.625337159559119695
-- Withdrawing NFT: #383# with LSU: 33000 and XRD claim: 4357.091441408776481719
Day: 2, epoch 88811, LSU locked in contract: 11977923.22497, new validator rewards: 7548.070828187704594727, pool liqudity: 6962.194234405622710246
-- Withdrawing NFT: #979# with LSU: 5000 and XRD claim: 265.729299875271921611
-- Withdrawing NFT: #1164# with LSU: 2300 and XRD claim: 109.460764276099322133
-- Withdrawing NFT: #173# with LSU: 17000 and XRD claim: 2638.032681175546282665
-- Withdrawing NFT: #426# with LSU: 3000 and XRD claim: 397.737419258003358955
-- Withdrawing NFT: #563# with LSU: 510 and XRD claim: 42.681045944206333634
-- Withdrawing NFT: #34# with LSU: 5000 and XRD claim: 776.229649930158720808
-- Withdrawing NFT: #511# with LSU: 7594 and XRD claim: 955.967203519860934616
-- Withdrawing NFT: #430# with LSU: 5000 and XRD claim: 662.895593580401918273
-- Withdrawing NFT: #367# with LSU: 1700 and XRD claim: 225.550671266999996317
-- Withdrawing NFT: #553# with LSU: 157500 and XRD claim: 15079.482545818743794554
